start,end,date,title,location,description,note_label,note,label_2,detail_2,detail_3,detail_4,detail_5,detail_6,detail_7
04/2020,03/2024,04/2020 - 03/2024,"Research Associate and PhD Candidate #text(fill: rgb(""5e81ac""), weight: ""bold"")[|] #text(size: 10pt, weight: ""regular"", style: ""italic"")[CRC Hybrid Societies - Human Minds in Digital Technologies]",Chemnitz \ University of Technology,"Research Associate & PhD Candidate at the Institute for Media Research, worked within Subproject B01 – 'Human Minds in Digital Technologies – Processes and Effects of (De)Anthropomorphism' of the Collaborative Research Centre (CRC) 'Hybrid Societies'. Responsible for the design, implementation, and analysis of laboratory studies for this DFG-funded CRC focused on shaping future hybrid societies.",Doctoral Dissertation,Anthropomorphism as an Enhancement of Empathy during humans interaction with embodied digital technologies. (Submissoin scheduled for Oktober 2025),Key Responsibilities \ and Achievements,"Developed novel methods and experimental designs for research on (de-)anthropomorphism and embodied digital technologies. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Developed a multidimensional anthropomorphism questionnaire.]","Implemented and conducted various experimental studies. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Developed a virtual experimenter using Unity to overcome pandemic-related restrictions on in-person data collection.]","Collaborated with interdisciplinary project groups within the CRC to conduct joint research. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Successfully conducted multiple studies and published findings in peer-reviewed journals.]","Communicated and presented research findings at scientific events and public forums. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Delivered presentations at multiple conferences and scientific events.]","Performed statistical analysis of collected research data. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Achieved a detailed understanding of the psychological processes underlying (de-)anthropomorphism and phenomena such as the Uncanny Valley.]","Authored scientific articles and project reports. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Authored/Co-authored multiple peer-reviewed publications (see Publications section).]"
10/2018,03/2020,10/2018 - 03/2020,"Research Associate and PhD Candidate #text(fill: rgb(""5e81ac""), weight: ""bold"")[|] #text(size: 10pt, weight: ""regular"", style: ""italic"")[Research Project Media Literacy]",Chemnitz \ University of Technology,"Research Associate in the DFG funded research project Media Literacy (Mediale Zeichenkompetenz), responsible for the design, implementation, and analysis of field studies within a collaborative research project between the Professorship of Media Psychology (TU Chemnitz) and the Professorship of Developmental Psychology (JM University of Würzburg), operating at the forefront of research in developmental media psychology.",,,Key Responsibilities \ and Achievements,"Analyzed longitudinal data from kindergarten field studies and developed learning materials for various media literacy training programs based on the findings. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Developed the final concepts for the individual training programs.]","Programmed learning modules for a planned media literacy app. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Completed the initial modules of the app.]","Planned and conducted workshops for researchers and student assistants on implementing field studies with kindergarten and preschool children. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Successfully trained a qualified research team, enabling effective data collection in kindergartens and preschools.]","Managed various administrative tasks, including project budget administration, recruitment of schools and classes for study participation, and study planning/preparation in coordination with school officials and authorities of the State of Saxony. #text(size: 8pt, weight: ""medium"", style: ""oblique"", fill: rgb(""5e81ac""))[Organized and led informational events for kindergartens, schools, and state authorities, resulting in an officially approved list for mandatory participation of recruited institutions.]",,
10/2018,04/2023,10/2018 - 04/2023,"Research Associate & PhD Candidate #text(fill: rgb(""5e81ac""), weight: ""bold"")[|] #text(size: 10pt, weight: ""regular"", style: ""italic"")[Professorship of Media Psychology]",Chemnitz \ University of Technology,"Served as Research Associate and Lecturer at the Institute of Media Research, supporting the Bachelor's and Master's programs: 'Media Communication', 'Computational and Communication Science', 'Media Psychology and Instructional Psychology', and 'Digital Media and Cultural Communication'.",,,Key Responsibilities \ and Achievements,"Instructed undergraduate and graduate students in fundamental concepts and their application within relevant fields, teaching a total of 24 courses across these programs.",Supervised student research groups and a total of 19 Bachelor's theses and 23 Master's theses.,"Performed institutional service, including serving on faculty hiring committees, curriculum committees, organizing academic conferences, and contributing to grant writing/funding proposals.",,,
11/2016,09/2018,11/2016 - 09/2018,"Graduate Assistant #text(fill: rgb(""5e81ac""), weight: ""bold"")[|] #text(size: 10pt, weight: ""regular"", style: ""italic"")[Professorship of Media Psychology]",Chemnitz \ University of Technology,Supported Professor Dr. Peter Ohler with teaching activities and preliminary work for research projects within the Professorship.,,,Key Responsibilities \ and Achievements,"Assisted with teaching activities for the 'Research Specialization: Media Psychology' course (Bachelor's program 'Media Communication'), contributing to the successful delivery of the seminar, assuming full teaching responsibility for the two-semester course the following semester.","Programming and implementation of behavioral scripts for the robot Nao, as part of research into toddler robotics and enabling the first successful use of robots in courses and student research at the Institute for Media Research.","Conceptualized and developed the blended learning course 'Scripting for Communication Scientists', which was subsequently implemented at the Institute for Media Research.",,,
11/2016,09/2018,11/2016 - 09/2018,"Graduate Assistant #text(fill: rgb(""5e81ac""), weight: ""bold"")[|]  #text(size: 10pt, weight: ""regular"", style: ""italic"")[Faculty of Humanities]",Chemnitz \ University of Technology,Performed various support tasks for the Institutes of German Studies and Media Research.,,,Key Responsibilities \ and Achievements,"Administered and redesigned websites for multiple professorships (Prof. Malinowski, Prof. Thielmann, Prof. Fraas) within the Institutes of German & Communication Studies and Media Research.",Developed and Implemented the online information portal for the 'Intercultural German Studies' Master's program.,Managed the migration of the faculty's transcription analysis system from ATLAS.ti to MAXQDA.,,,
